Final_Liquid Inlet-SIM,Final_Gas Inlet-SIM,Gas Outlet_16-SIM
0.007016341,0.014577259,0.003096879
0.007160049,0.014577259,0.003186871
0.007305172,0.014577259,0.00327775
0.007451733,0.014577259,0.003369513
0.007599751,0.014577259,0.003462156
0.00774925,0.014577259,0.003555679
0.007900251,0.014577259,0.003650079
0.008052778,0.014577259,0.003745357
0.008206853,0.014577259,0.003841513
0.0083625,0.014577259,0.003938549
0.00223,0.016034985,0.000479831
0.002330533,0.016034985,0.000506147
0.002431893,0.016034985,0.000534228
0.002534091,0.016034985,0.000564148
0.002637137,0.016034985,0.000595973
0.002741042,0.016034985,0.000629758
0.002845816,0.016034985,0.000665548
0.002951471,0.016034985,0.000703377
0.003058017,0.016034985,0.000743267
0.003165466,0.016034985,0.000785227
0.00327383,0.016034985,0.000829254
0.00338312,0.016034985,0.000875333
0.003493348,0.016034985,0.000923439
0.003604526,0.016034985,0.000973539
0.003716667,0.016034985,0.001025589
0.003829783,0.016034985,0.001079542
0.003943886,0.016034985,0.001135344
0.004058991,0.016034985,0.001192939
0.00417511,0.016034985,0.001252269
0.004292257,0.016034985,0.001313274
0.004410444,0.016034985,0.001375895
0.004529688,0.016034985,0.001440075
0.00465,0.016034985,0.001505758
0.004771396,0.016034985,0.001572889
0.004893891,0.016034985,0.001641418
0.0050175,0.016034985,0.001711296
0.005142237,0.016034985,0.001782478
0.005268119,0.016034985,0.001854921
0.005395161,0.016034985,0.001928586
0.00552338,0.016034985,0.002003437
0.005652791,0.016034985,0.002079441
0.005783411,0.016034985,0.002156566
0.005915258,0.016034985,0.002234786
0.006048349,0.016034985,0.002314075
0.006182701,0.016034985,0.00239441
0.006318333,0.016034985,0.00247577
0.006455263,0.016034985,0.002558137
0.00659351,0.016034985,0.002641494
0.006733092,0.016034985,0.002725826
0.006874029,0.016034985,0.002811121
0.007016341,0.016034985,0.002897366
0.007160049,0.016034985,0.002984552
0.007305172,0.016034985,0.003072669
0.007451733,0.016034985,0.003161711
0.007599751,0.016034985,0.003251671
0.00774925,0.016034985,0.003342545
0.007900251,0.016034985,0.003434327
0.008052778,0.016034985,0.003527015
0.008206853,0.016034985,0.003620606
0.0083625,0.016034985,0.003715099
0.00223,0.017492711,0.000470572
0.002330533,0.017492711,0.000493657
0.002431893,0.017492711,0.000518234
0.002534091,0.017492711,0.000544374
0.002637137,0.017492711,0.000572148
0.002741042,0.017492711,0.000601622
0.002845816,0.017492711,0.000632856
0.002951471,0.017492711,0.000665902
0.003058017,0.017492711,0.000700806
0.003165466,0.017492711,0.000737604
0.00327383,0.017492711,0.000776324
0.00338312,0.017492711,0.000816982
0.003493348,0.017492711,0.000859586
0.003604526,0.017492711,0.000904133
0.003716667,0.017492711,0.000950613
0.003829783,0.017492711,0.000999006
0.003943886,0.017492711,0.001049284
0.004058991,0.017492711,0.001101415
0.00417511,0.017492711,0.001155359
0.004292257,0.017492711,0.001211074
0.004410444,0.017492711,0.001268513
0.004529688,0.017492711,0.00132763
0.00465,0.017492711,0.001388374
0.004771396,0.017492711,0.001450696
0.004893891,0.017492711,0.001514547
0.0050175,0.017492711,0.00157988
0.005142237,0.017492711,0.001646647
0.005268119,0.017492711,0.001714805
0.005395161,0.017492711,0.00178431
0.00552338,0.017492711,0.001855122
